                 文献类型                                         全部作者                                                                                                                               作者单位                                                                标题                 来源                                                                                           关键字                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                摘要    年份
157   Journal Article                                     贾君枝;崔西燕;                                                                                                                    中国人民大学信息资源管理学院;                                                 多元认识论协调下的知识组织系统构建            情报理论与实践                                                                     符号学;概念理论;认识论;多元认识论;知识组织系统                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [目的/意义]基于认识论的哲学视角研究知识组织系统，旨在揭示知识组织系统构建过程中所蕴含的多元认识论立场，并为概念知识的构成提供一种哲学意义上的思考和理解，从而为知识组织系统的构建提供哲学层面的理论指导，以更好地规范和提升知识组织系统构建的过程和质量。[方法/过程]利用符号学、概念理论揭示概念的本质，基于知识组织中概念的认识论立场，分析不同认识论影响下知识组织系统的发展，进而探讨知识组织系统构建中所蕴含的多种认识论的协调作用。[结果/结论]充分明确了知识创造过程中认知主体的认识观，即明确了认知主体在概念知识选取中的哲学视角，揭示了知识组织系统对经验主义、理性主义、实用主义、历史主义、批判理论等多元认识论的协调构建，进一步优化了知识组织系统构建路径。      
158   Journal Article                                     刘一鸣;骆梦芹;                                                                                                                                                                                    加拿大公共图书馆的健康信息服务项目              图书馆论坛                                                                       健康信息服务项目;公共图书馆;跨界合作;加拿大                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 文章通过调研并分析加拿大公共图书馆开展健康信息服务现状，为“健康中国”战略下公共图书馆全面推进健康信息服务提供借鉴。通过网络调研法，描述14所公共图书馆项目基本建设情况，从项目类型、主题内容、合作对象、项目特色等方面进行分析；建议我国公共图书馆从项目运行常态化、服务共建深度化、内容供给侧优化、健康服务精准化和打造健康生态圈等方面全面推进健康信息服务，以提高个人和社会的健康与福祉水平。      
159   Journal Article                                     黄俊锋;罗贤春;                                                                                                         桂林航天工业学院图书馆;吉首大学法学与公共管理学院;                                            空巢背景下农民群体的惠农信息传播行为实证研究             图书情报知识                                                          惠农信息传播;惠农信息服务;农民群体;信息利用行为;空巢化乡村;乡村振兴                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [目的/意义]基于空巢化乡村农民群体分众化的视角，调查守巢、两栖和离巢等三类农民群体惠农信息传播行为的特征，探究农民群体之间传播行为的差异性。[研究设计/方法]研究框架和问卷设计基于创新信息传播的5阶段模型，利用SPSS的CV变异对不同阶段的各农民群体在惠农信息传播中的行为特征进行统计分析和比较。[结论/发现]不同农民群体在惠农信息传播的认知、决策、执行等阶段的行为存在差异，并根据分析结论提出相应对策以提高农民的惠农信息传播效能。[创新/价值]将惠农信息传播受众扩展至非农“农民”，三类型农民群体划分的思想，为政府差异化服务策略提供新依据。      
160   Journal Article                                     黄嘉欣;张晓芳;                                                                                                                        湘潭大学公共管理学院;                                            MR技术视域下智慧图书馆的应用模型与创新进路           农业图书情报学报                                                                      MR技术;混合现实;智慧图书馆;元宇宙;人工智能                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [目的/意义]新一代MR技术突破了全球对数字现实交互的传统认识,也为智慧图书馆带来技术革新的发展契机。探讨MR视域下新的应用场景有助于拓展对智慧图书馆的研究深度与领域广度。[方法/过程]采用文献综述、内容分析与网站分析等方法,梳理图书馆领域MR技术应用的初步实践探索,结合MR技术的高真实感、全方位性、更智能化等特征,可进一步深化智慧图书馆服务、知识、体验、协作等四要素的能力,以此构建MR技术视域下智慧图书馆的新应用模型。[结果/结论]在虚拟现实迅速革新的浪潮中,智慧图书馆建设应从问题导向、理论支撑、人才管理、主体共创4个维度展开思考,利用MR技术聚焦智慧图书馆的4个“面向”,以期构建智慧图书馆与MR技术融会贯通的未来生态图景,更好地为智慧图书馆添加活力、挖掘潜力、赋予能力。      
161   Journal Article                                       许媛;申静;                                                                                                              北京大学信息管理系;中国人民大学研究生院;                                     智库知识服务发展机制的系统动力学仿真分析——以中国科协为例              图书馆论坛                                                                     中国智库;知识服务;发展机制;系统动力学;仿真分析                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         文章基于系统动力学的智库知识服务发展机制理论模型，以中国科学技术协会为例，借助Vensim PLE软件识别模型中的关键要素及其相互关系，建立适用于中国特色新型智库知识服务发展机制的仿真模型，这对验证模型的可行性和有效性具有重要的理论与实践意义。仿真分析结果显示：该修正模型是由客户知识服务需求、智库知识服务能力、智库知识服务创新思想和智库知识服务生态系统等4个关键要素组成。其中，客户知识服务需求是智库知识服务发展的驱动力，推动智库知识服务创新思想的产生和知识服务能力的提升；智库知识服务能力是满足客户知识服务需求和产生智库知识服务创新思想的保障条件，是通过应用各种知识服务模式培育的；智库知识服务生态系统是推动智库知识服务可持续发展的统一整体，且通过智库知识服务创新思想不断向客户提供专业化、全球化和品牌化的知识服务，促进客户不断产生新的知识服务需求。      
162   Journal Article                               蔡鸿宇;徐宗煌;张伟;石进;                                                                                                                        南京大学信息管理学院;                                              基于区块链思维的情报构件资源共享机制研究               情报杂志                                                             区块链思维;联盟区块链;情报构件化;情报分析;情报工作;情报工程化                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [研究目的]运用区块链思维构建情报构件资源共享模型,突破情报分析工作中存在的信息孤岛难题,提高情报工作技能复用性。[研究方法]基于智能合约、共识机制、激励机制等技术提出了基于联盟区块链的情报构件资源共享模型,并对模型组织架构、原型架构、共享流程进行深入探讨。[研究结论]提出的基于区块链的情报构件资源共享模型具有权限可控、共享本体质量可控、自由高效的特点,能够促进情报构件资源的共享,提升情报分析技能的复用性和情报工作的效率,为深化情报构件化思想与情报工程化概念提供可行的方案。      
163   Journal Article                                      刘艳;万晶晶;                                                                                                                            江西省图书馆;                                             领读人阅读推广模式：形态、功能、缺陷与启示              图书馆建设                                                                     领读人;阅读推广;领读视频;图书阅读缺失;算法规训                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       基于领读的发生空间、内容载体、开展形式、实施目的以及组合方式5个维度，对目前领读模式进行形态划分。领读人阅读推广模式具有信息传递与知识获取、图书解说与图书筛选、阅读陪伴与阅读互动、内容生产与激活共鸣、重塑阅读与扩大受众的功能。同时领读人阅读推广模式存在受众图书分离与替代想象、平台算法规训与信息收窄、流量红利驱动与消费陷阱、微型文本速食与信息碎片、阅读数字绩效与虚假繁荣5个缺陷。未来，领读人阅读推广需平衡领读人领读与自主性阅读的关系、激发阅读兴趣与数字绩效的关系、碎片化信息与系统性文本的关系、平台算法规训与传受两端的关系四种关系。      
164   Journal Article                                     郭海玲;魏悦华;                                                                                                         河北大学管理学院;河北省数字治理与协同治理研究基地;                          协同视角下数字图书馆知识生态系统发展评价研究——基于图书馆行业公开数据的实证测算              图书馆建设                                                                          数字图书馆;知识生态系统;协同度;有序度                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  本文将知识生态系统理论引入数字图书馆建设中，基于生态学的新视角，从知识主体、知识资源、知识技术、知识环境四个维度建立数字图书馆知识生态系统，并在此基础上构建知识生态系统协同度模型，通过实证测算对数字图书馆知识生态系统协同发展水平进行分析，以实现数字图书馆建设发展的系统性规划，推动各要素之间的协同创新，加快知识交流与共享，助力我国数字图书馆的可持续健康发展。研究结果表明，从数字图书馆知识生态系统整体看，系统中各群落内部有序度均呈现上升趋势，相同基期协同度已达到良好协同水平，但相邻基期协同度测算结果显示该系统基本处于低度协同演变状态，数字图书馆发展中还存在信息技术发展不均衡、知识资源建设不足等问题，知识技术群落、知识资源群落仍有较大的改善空间。最后，从多个维度提出相关建议，以期为数字图书馆知识生态系统协同可持续发展提供参考和借鉴。      
165   Journal Article                                         陈旭辉;                                                                                                                           澳门大学法学院;                                      面向共同富裕的基本公共文化服务均等化：政策逻辑与路径选择              图书馆建设                                                                    基本公共文化服务均等化;共同富裕;理论关联;政策脉络                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            党的二十大报告指出，实现全体人民共同富裕是中国式现代化的本质要求。基本公共文化服务均等化是促进共同富裕的重要举措。基本公共文化服务均等化与共同富裕在理论上高度关联，它们都坚持以人民为中心的价值立场，将人的全面发展作为价值指向，把高阶正义视作价值目标，都以渐进主义作为构建原则。在政策脉络上，基本公共文化服务均等化政策演进始终围绕共同富裕主题主线，可分为探索准备阶段、全面深化阶段、高质量发展阶段。在实践逻辑上，未来，基本文化服务均等化高质量发展应倡导精准化发展理念，整合优化资源配置，引入新型均等化评价视角，进一步完善以“公众参与”为核心的均等化共建共享机制，阔步迈向中国式现代化新征程。      
166   Journal Article                             孙金娟;郑建明;高蕴梅;孙红蕾;                                                                                                              常熟理工学院图书馆;南京大学信息管理学院;                                              高校图书馆服务创新实践进展与生成策略研究              图书馆建设                                                                          高校图书馆;服务创新;策略框架;生成策略                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        服务创新是高校图书馆高质量发展的关键问题。采用内容分析研究方法，以3个高校图书馆服务创新案例集为研究对象，从整体上把握高校图书馆服务创新的外在特征和内在结构，开展服务创新策略研究，为高校图书馆的转型和发展提供建议。研究发现，双一流高校图书馆全面引领服务创新实践，同时非双一流高校图书馆的创新意识和创新能力正在逐步觉醒和提升；东部地区高校图书馆创新活动最为活跃，西部地区高校图书馆的创新活跃性有较大幅度提升；高校图书馆服务创新整体上呈现创新模式多元化、创新领域分层化、创新内容泛在化的特征。在对案例集进行外在特征和内在结构分析的基础上，构建了融合服务创新核心要素和决策实施过程的高校图书馆服务创新WRMB策略框架，不同的要素组合构成了改善型创新策略、突破型创新策略、引领型创新策略三种策略模式。      
167   Journal Article                                      杨素华;任林;                                                                                                                     安徽外国语学院国际商务学院;                               中国农产品物流发展研究述评与展望——基于CiteSpace文献计量分析   内蒙古农业大学学报(社会科学版)                                                                        农产品物流;文献计量分析;CiteSpace                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              文章以2013—2022年“CSSCI”和“北大核心”来源期刊上刊发的868篇农产品物流相关期刊论文为样本，运用CiteSpace对数据进行发文量、作者、机构与关键词等方面的文献计量分析。研究结果显示：2013年以来，农产品物流的研究热点集中于农产品物流的发展对策、农产品物流的算法控制、农产品物流的运作模式以及农产品供应链的协同发展四个方面；研究前沿包括数字化赋能农产品物流、构建智慧物流体系、提高冷链物流效率和效益；未来研究可聚焦于人工智能赋能、构建生鲜农产品跨境电商物流体系等方面。      
168   Journal Article                                       石晶;刘佳;                                                                                                           中国人民大学书报资料中心;长春师范大学传媒学院;                                            基于通用人工智能的公共图书馆服务的优化与创新              图书馆建设                                                                             通用人工智能;公共图书馆;信息服务                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       推进公共图书馆服务智能化面临许多挑战，如通用性缺失、自然语言处理能力不足、高维护成本等，通用人工智能（AGI）的出现为解决这些问题提供了新的技术手段，有助于构建更灵活、高效和用户友好的图书馆智能服务解决方案。首先，提出了现阶段公共图书馆服务的四个局限：自然语言的理解与生成是现阶段公共图书馆用户体验的瓶颈、图书馆的信息层次服务和用户的智慧层次需求是现阶段需要解决的重要矛盾、与社会其他资源的脱节是公共图书馆服务的主要弱势和信息服务粒度过大是图书馆个性化服务的明显缺陷。其次，从服务层次、服务内容和服务形态三个维度探讨了基于通用人工智能图书馆服务优化策略。接着，分析了基于通用人工智能的公共图书馆新服务，包括无障碍智慧服务、读者数字孪生、图书馆虚拟数字人。最后，提出了基于通用人工智能的公共图书馆学研究的三个新变化，即研究范式从以人为主图书馆服务到以机器为主的图书馆服务的转型、研究侧重点从信息的“存”与“取”到信息的“关联”与“洞见”的拓展，以及分析方法从描述性分析到指导性分析的过渡。      
169   Journal Article                                       王凯;刘鹏;                                                                                                                       蚌埠医学院卫生管理学院;                                           融合论文引用与学者信息的交叉领域学术影响力分析            情报理论与实践                                                                   跨领域;影响力计算;引文传播;学者信息传播;学术影响力                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [目的/意义]交叉学科内的学术影响力评价是科学计量领域的重要研究内容，其对探究跨学科知识融合趋势及科研人员影响力的测度与评价等具有十分重要的意义。当前的影响力度量方法普遍存在着论文引用的载体单一化、传播单向化，并且没有考虑学者领域交叉程度等问题。[方法/过程]通过提取学者自身的领域信息特征，把影响力双向传播引入论文引用网络中，提出了一种融合论文引用传播与学者信息传播的交叉领域学术影响力识别方法(IPCSI)，该方法首先通过量化t时刻节点文献的学科交叉度，构建学者—论文交叉度矩阵，在此基础上将引证文献对节点文献的引用传播作为影响力连边，计算t+1时刻引文因子向量，利用图上排序算法实现学术影响力的后向引文传播。其次，从学者间合著领域相关性视角，通过增加以学者自身为传播载体的学者影响力连边，计算t－1时刻学者因子向量，模拟该时刻下学术影响力的前向信息传播。最后，通过同时建模论文引文传播与学者信息传播，客观再现学术影响力的前序与后序传播过程，并采用调和计量方法分配学术贡献度，最终完成学者影响力双向传播的量化分析。[结果/结论]在真实数据集上验证了IPCSI方法的有效性与可行性，实验结果表明通过结合论文引用粒度与学者信息粒度，能够丰富交叉领域内学术影响力的传播路径，提升学术影响力评价的准确性。      
170   Journal Article                                     刘亚丽;范逢春;                                                                                                                        四川大学公共管理学院;                         ChatGPT-AIGC用户风险感知维度识别与治理研究——基于扎根理论的探索性分析            情报理论与实践                                                            扎根理论;ChatGPT;生成式人工智能生成内容;风险感知;治理策略                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [目的/意义]识别ChatGPT-AIGC用户风险感知维度属性，为数字智能时代有效实现风险治理、推动新一代人工智能技术健康可持续发展提供价值参考。[方法/过程]结合已有风险感知维度研究成果，通过面对面访谈和线上访谈收集数据，借鉴扎根理论研究思路对访谈文本进行三级编码，构建ChatGPT-AIGC用户风险感知影响机理APCO模型。[结果/结论]结果发现个人风险感知能力影响用户产生不同的风险感知维度，而用户风险感知维度属性又进一步对使用意愿产生影响。基于此，从技术研发、信息监管、法律监督三方面提出风险治理策略。      
171   Journal Article                               王向锋;蔡鸿宇;张伟;石进;                                                                                                                        南京大学信息管理学院;                                                    基于组合的情报分析构件化研究               现代情报                                                                             构件;情报工程;情报分析;情报流程                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [目的/意义]数智化技术在情报工作中的引入丰富了情报分析的参与要素并对情报人员提出了更多的专业要求，构件视角下的情报分析不仅有助于规范各要素的工作职责，而且可以支持所有要素在标准流程下统一协调。[方法/过程]首先，根据软件构件模型对情报构件的内外部设计进行概念化的表示；其次引入MVC设计模式与以目标为中心的流程思想规范情报构件的组合原则及工作模式；最后以构件为组成单位进行情报分析模型的示例开发，从组合逻辑上证明构件化分析的灵活性和规范性。[结果/结论]在组合原则和工作模式的指导下，不同功能的情报构件可以通过外部接口的连接完成同一层次下的组合。基于构件组合的情报分析模型的开发示例证明了情报构件化分析不仅能保证情报产品高质量的生产，还提升了情报分析的灵活性和规范性。      
172   Journal Article                                余颖;罗奕初;石进;李明;                                                                                                                        南京大学信息管理学院;                                         编委对期刊研究主题的影响研究——以信息科学领域为例               现代情报                                                                      期刊编委;学术影响力;主题分布;Word2Vec                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [目的/意义]学术期刊是学术交流的重要载体之一，期刊编委团队承担着把握期刊方向的重要职责，并对期刊发文内容和发文质量进行把关。期刊编委的研究主题能够体现编委对本领域学术动态的觉察和感知，本文旨在探究编委的研究主题对期刊收录文章主题的影响情况。[方法/过程]以信息科学领域一流期刊为研究对象，构建编委数据集和非编委数据集，通过数据集信息挖掘期刊收录文章主题，利用Word2Vec模型和Kmeans聚类方法探究期刊内的主题分布特征，探究编委的主题影响情况。[结果/结论]研究发现编委对冷门主题的影响高于热门主题，编委能够通过在新兴主题集中性发文引导期刊的研究主题发生变化，引导学者对有价值的主题进行研究。      
173   Journal Article                                 完颜邓邓;尹娇;刘文艳;                                                                                                                        湘潭大学公共管理学院;                                             国内外公共文化服务与旅游业融合发展研究进展             图书情报知识                                                                        公共文化服务;旅游业;文旅融合;公共文化场馆                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [目的/意义]总结国内外公共文化服务与旅游业融合发展的研究现状，为进一步深入研究提供参考。[研究设计/方法]采用关键词检索与引文追溯方法，系统收集国内外相关文献，通过内容详读与分析，分别对国内外文献进行研究主题归纳。[结论/发现]将国外研究主题归纳为公共文化服务与旅游业的相互作用、公共文化场馆的旅游潜力与局限、旅游服务、旅游模式、公共文化场馆和旅游业融合发展测评五个方面；将国内研究主题归纳为公共文化服务与旅游业的关系、文旅融合背景下公共文化场馆功能拓展、资源建设、服务提供、公共文化服务和旅游业融合发展模式五个方面；并对国内外研究进行对比分析，提出未来我国发展建议。[创新/价值]对国内外公共文化服务与旅游业融合的相关文献进行梳理和评述，提出国外研究中值得借鉴的内容。      
174   Journal Article                              范昊;郑小川;热孜亚·艾海提;                                                                                                           武汉大学信息管理学院;新疆财经大学信息管理学院;                                                我国科研数据开放共享政策供需匹配研究           信息资源管理学报                                                                  政策供需匹配;数据开放共享;科研数据;政策计量;内容分析                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              了解我国科研数据开放共享政策供需匹配情况,可有效揭示供需利益主体诉求,对优化、调整政策具有重要意义。在厘清供需主体及其作用关系基础上,构建包括5个一级维度、17个二级维度的匹配指标体系,利用内容分析法对收集得到的61份政策文本编码统计得到供给端匹配序值,使用问卷调查法对用户需求进行实证调查,获取需求端匹配序值,最后从内容匹配度和环境匹配度两个方面分析供需匹配情况。结果显示,当前我国科研数据开放共享政策整体供需匹配良好,但数据可用性、分级分类、基础设施建设、平台服务能力、评价机制的匹配度相对较低,其中数据可用性和平台服务能力需求大而供给不足,分级分类、平台基础建设、评价机制均呈现供过于求的特征,反映出由于科研主体认知不足或动机较弱导致的供给过剩以及政策短板等供需不平衡问题。      
175   Journal Article                                     张忠倩;梅建明;                                                                                                                   中国人民公安大学;上海政法学院;                                           改革中的白俄罗斯情报系统:结构、特征及内在逻辑               情报杂志                                                                           白俄罗斯;情报系统;情报改革;情报披露                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [研究目的]自2020年政治危机以来,白俄罗斯情报系统积极推动改革调整。随着中白两国建立全天候全面战略伙伴关系,对此进行专门研究具有重要现实意义。[研究方法]基于政府官方资料、新闻报道、智库报告以及相关文献,梳理分析白俄罗斯情报系统的组织结构和改革特征,并从组织、社会、政治和安全四个方面剖析改革的内在逻辑,最后就其工作成效进行客观评价。[研究结论]白俄罗斯情报界的改革调整主要集中于情报法规、情报披露、情报权力和情报合作四个方面。官僚部门的利益诉求,民主法治的价值理念,总统执政的现实需要,以及对多极世界的战略追求是驱动改革的四个主要逻辑。整体来看,白俄罗斯情报系统在维护国家安全稳定方面成效显著,但也面临着改革所带来的各种问题。鉴于白俄罗斯国家安全环境的不确定性,中国需紧密关注其情报系统的发展动向,为未来两国情报合作奠定基础。      
